,Question Index,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,,
,Question Label,Fylgi Sjálfstæðisflokks,Fylgi Sjálfstæðisflokks,Fylgi Framsóknarflokks,Fylgi Framsóknarflokks,Fylgi Viðreisnar,Fylgi Viðreisnar,Fylgi Flokks fólksins,Fylgi Flokks fólksins,Fylgi Sósíalistaflokks Íslands,Fylgi Sósíalistaflokks Íslands,Fylgi Miðflokksins,Fylgi Miðflokksins,Fylgi Pírata,Fylgi Pírata,Fylgi Samfylkingarinnar,Fylgi Samfylkingarinnar,Fylgi Vinstrihreyfingarinnar - græns framboðs,Fylgi Vinstrihreyfingarinnar - græns framboðs,Fylgi annarra flokka/framboða,Fylgi annarra flokka/framboða,,
,Response Month Month,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric
1,2024-09,406,"14,2",406,"6,3",406,"10,2",406,"7,4",406,"5,1",406,"18,7",406,"7,6",406,"26,1",406,"4,4",406,"0,0",4.061,"10,0"
2,2024-08,394,"17,1",394,"7,0",394,"10,1",394,"6,7",394,"5,7",394,"16,0",394,"7,8",394,"26,4",394,"3,4",394,"0,0",3.943,"10,0"
3,2024-07,332,"17,2",332,"7,2",332,"8,8",332,"8,6",332,"4,7",332,"14,6",332,"7,8",332,"27,6",332,"3,5",332,"0,0",3.316,"10,0"
4,2024-06,327,"18,5",327,"6,6",327,"9,4",327,"7,7",327,"3,5",327,"14,5",327,"8,8",327,"26,9",327,"4,0",327,"0,0",3.265,"10,0"
5,2024-05,508,"18,0",508,"9,1",508,"7,7",508,"6,1",508,"3,7",508,"13,5",508,"8,8",508,"29,9",508,"3,3",508,"0,0",5.081,"10,0"
6,2024-04,376,"18,0",376,"8,8",376,"7,5",376,"7,2",376,"3,4",376,"12,8",376,"8,2",376,"29,7",376,"4,4",376,"0,0",3.762,"10,0"
7,2024-03,383,"18,2",383,"7,3",383,"7,1",383,"6,2",383,"3,9",383,"12,9",383,"7,8",383,"30,9",383,"5,6",383,"0,0",3.830,"10,0"
8,2024-02,366,"19,9",366,"8,8",366,"7,5",366,"6,8",366,"3,5",366,"12,8",366,"8,0",366,"28,2",366,"4,7",366,"0,0",3.656,"10,0"
9,2024-01,376,"18,2",376,"8,4",376,"7,0",376,"7,9",376,"3,4",376,"10,9",376,"8,1",376,"30,6",376,"5,5",376,"0,0",3.756,"10,0"
10,2023-12,354,"18,1",354,"9,4",354,"8,8",354,"6,8",354,"3,6",354,"9,7",354,"9,1",354,"28,4",354,"6,0",354,"0,0",3.543,"10,0"
11,2023-11,346,"19,8",346,"8,6",346,"7,9",346,"6,9",346,"4,2",346,"9,4",346,"9,3",346,"28,1",346,"5,1",346,"0,8",3.457,"10,0"
12,2023-10,392,"20,5",392,"7,4",392,"7,5",392,"6,5",392,"4,1",392,"8,6",392,"10,2",392,"29,1",392,"6,0",392,"0,0",3.920,"10,0"
